,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2003-07-14,3720.75,-0.9983,0.128,0.822,0.05,3704.6298828125,3726.56005859375,3704.6298828125,21200.0
2003-07-15,3686.340087890625,-0.6484,0.096,0.814,0.09,3719.169921875,3733.8798828125,3657.179931640625,22800.0
2003-07-16,3721.64990234375,-0.9973,0.127,0.801,0.071,3702.139892578125,3729.02001953125,3662.699951171875,18400.0
2003-07-17,3668.909912109375,-0.9991,0.138,0.81,0.052,3728.840087890625,3750.0,3660.340087890625,22000.0
2003-07-18,3647.580078125,0.8516,0.075,0.834,0.09,3651.389892578125,3684.22998046875,3625.72998046875,22000.0
2003-07-21,3569.580078125,-0.5972,0.084,0.829,0.087,3655.260009765625,3664.639892578125,3564.409912109375,19400.0
2003-07-22,3554.1298828125,-0.9987,0.143,0.796,0.061,3557.1298828125,3582.080078125,3534.06005859375,22400.0
2003-07-23,3577.889892578125,-0.9993,0.154,0.799,0.047,3571.75,3596.590087890625,3551.97998046875,31800.0
2003-07-24,3668.070068359375,-0.9973,0.131,0.784,0.085,3595.60009765625,3677.239990234375,3572.639892578125,44400.0
2003-07-25,3726.4599609375,-0.9973,0.117,0.809,0.073,3685.31005859375,3737.760009765625,3661.68994140625,25800.0
2003-07-28,3739.760009765625,-0.9987,0.146,0.781,0.073,3745.989990234375,3775.64990234375,3730.070068359375,24600.0
2003-07-29,3764.43994140625,-0.9954,0.099,0.85,0.051,3731.85009765625,3771.35009765625,3694.93994140625,21800.0
2003-07-30,3780.419921875,-0.994,0.1,0.829,0.071,3761.760009765625,3799.889892578125,3759.97998046875,22600.0
2003-07-31,3792.610107421875,-0.9974,0.113,0.812,0.075,3796.530029296875,3835.75,3785.1201171875,37000.0
2003-08-01,3815.31005859375,-0.9992,0.142,0.791,0.067,3800.72998046875,3831.4599609375,3779.72998046875,26000.0
2003-08-04,3832.5,-0.9992,0.145,0.784,0.071,3798.81005859375,3840.719970703125,3785.85009765625,19800.0
2003-08-05,3765.820068359375,-0.9988,0.133,0.8,0.067,3845.929931640625,3878.719970703125,3761.840087890625,26000.0
2003-08-06,3741.659912109375,-0.9995,0.146,0.801,0.054,3754.64990234375,3798.8701171875,3722.080078125,29000.0
2003-08-07,3806.830078125,-0.9984,0.124,0.808,0.068,3749.179931640625,3816.159912109375,3733.6298828125,24200.0
2003-08-08,3883.760009765625,-0.9984,0.126,0.812,0.062,3824.260009765625,3890.780029296875,3823.389892578125,29200.0
2003-08-11,3893.409912109375,-0.9985,0.122,0.821,0.057,3842.139892578125,3915.89990234375,3842.139892578125,21800.0
2003-08-12,3889.409912109375,-0.9989,0.161,0.752,0.087,3907.030029296875,3938.909912109375,3879.35009765625,27400.0
2003-08-13,3926.070068359375,-0.9877,0.099,0.821,0.08,3910.4599609375,3935.800048828125,3874.340087890625,25200.0
2003-08-14,3921.199951171875,-0.9964,0.12,0.807,0.073,3932.590087890625,3959.10009765625,3908.699951171875,22600.0
2003-08-18,3977.72998046875,-0.9942,0.119,0.794,0.088,3932.3701171875,3985.4599609375,3928.169921875,19400.0
2003-08-19,4006.909912109375,-0.9819,0.104,0.812,0.084,3985.77001953125,4026.27001953125,3981.919921875,24400.0
2003-08-20,4056.60009765625,-0.9969,0.128,0.795,0.077,4027.60009765625,4066.030029296875,4027.60009765625,21200.0
2003-08-21,4095.389892578125,-0.9837,0.1,0.834,0.066,4075.169921875,4106.7099609375,4073.06005859375,27000.0
2003-08-22,4125.1201171875,-0.9972,0.106,0.834,0.06,4146.56005859375,4149.5400390625,4084.18994140625,28000.0
2003-08-25,4004.6298828125,-0.9901,0.108,0.814,0.078,4149.81982421875,4170.580078125,3943.659912109375,34200.0
2003-08-26,4152.2900390625,-0.9899,0.089,0.854,0.057,4021.909912109375,4160.02001953125,4021.909912109375,28800.0
2003-08-27,4205.56005859375,-0.9989,0.169,0.75,0.081,4173.35986328125,4222.39013671875,4173.35986328125,25600.0
2003-08-28,4212.2900390625,-0.9972,0.133,0.788,0.079,4256.06982421875,4256.06982421875,4179.330078125,28600.0
2003-08-29,4244.72998046875,-0.9981,0.116,0.83,0.054,4235.259765625,4277.64013671875,4228.85009765625,35200.0
2003-09-01,4324.759765625,-0.9925,0.113,0.806,0.08,4248.06982421875,4329.56982421875,4248.06982421875,24800.0
2003-09-02,4339.2001953125,-0.9968,0.145,0.765,0.09,4341.72998046875,4358.2998046875,4291.9599609375,31200.0
2003-09-03,4257.93994140625,-0.9714,0.115,0.779,0.107,4361.8701171875,4367.8701171875,4248.85986328125,28800.0
2003-09-04,4310.509765625,-0.9933,0.106,0.826,0.068,4276.39990234375,4328.3701171875,4257.41015625,33000.0
2003-09-05,4369.169921875,-0.9383,0.077,0.863,0.06,4314.68017578125,4371.97998046875,4314.68017578125,30800.0
2003-09-08,4434.25,-0.999,0.16,0.761,0.079,4399.60986328125,4444.6201171875,4399.60986328125,25200.0
2003-09-09,4425.2001953125,-0.9981,0.125,0.805,0.07,4458.64013671875,4473.56982421875,4398.08984375,30400.0
2003-09-10,4434.259765625,-0.9976,0.122,0.813,0.064,4410.1201171875,4438.22998046875,4378.64990234375,26600.0
2003-09-11,4393.1298828125,-0.9957,0.122,0.827,0.051,4423.7099609375,4463.3798828125,4381.08984375,25800.0
2003-09-12,4305.91015625,-0.9987,0.155,0.762,0.084,4407.72021484375,4437.0,4297.7099609375,26600.0
2003-09-15,4193.830078125,-0.9963,0.155,0.73,0.115,4310.169921875,4310.169921875,4184.10986328125,33800.0
2003-09-16,4274.75,-0.995,0.101,0.846,0.053,4195.10009765625,4290.06982421875,4134.68994140625,40400.0
2003-09-17,4235.35009765625,-0.9985,0.127,0.808,0.065,4299.3701171875,4330.85009765625,4222.60009765625,32200.0
2003-09-18,4134.14990234375,-0.9845,0.119,0.787,0.094,4243.009765625,4251.5400390625,4126.22021484375,33600.0
2003-09-19,4217.1201171875,-0.9952,0.121,0.784,0.095,4159.72021484375,4224.72998046875,4097.5498046875,35400.0
2003-09-22,4151.72021484375,-0.9993,0.172,0.771,0.058,4230.91015625,4237.419921875,4141.7998046875,24600.0
2003-09-23,4231.68994140625,-0.9967,0.114,0.816,0.07,4138.009765625,4240.02001953125,4111.5400390625,25200.0
2003-09-24,4356.39013671875,-0.9993,0.152,0.782,0.066,4249.93017578125,4366.830078125,4229.8701171875,30400.0
2003-09-25,4297.14990234375,-0.998,0.137,0.789,0.075,4347.22998046875,4360.72021484375,4285.009765625,31000.0
2003-09-26,4382.56982421875,-0.9878,0.106,0.819,0.075,4299.66015625,4388.830078125,4299.66015625,24800.0
2003-09-29,4402.0498046875,-0.9562,0.109,0.802,0.088,4392.8701171875,4426.2998046875,4385.5400390625,31600.0
2003-09-30,4453.240234375,-0.9927,0.126,0.778,0.096,4428.16015625,4456.41015625,4413.72021484375,30400.0
2003-10-01,4455.080078125,-0.9959,0.103,0.825,0.072,4452.06982421875,4487.0498046875,4432.93017578125,26400.0
2003-10-03,4552.919921875,-0.926,0.091,0.831,0.078,4465.43994140625,4556.89013671875,4465.43994140625,33000.0
2003-10-06,4631.39013671875,-0.9966,0.124,0.799,0.077,4567.68017578125,4637.27001953125,4552.39013671875,26400.0
2003-10-07,4632.93994140625,-0.9989,0.141,0.777,0.082,4644.85986328125,4688.330078125,4601.16015625,33400.0
2003-10-08,4634.85986328125,-0.9832,0.105,0.8,0.095,4646.6298828125,4667.490234375,4586.9599609375,28800.0
2003-10-09,4698.68017578125,0.9846,0.085,0.816,0.099,4643.31982421875,4710.27978515625,4643.31982421875,25400.0
2003-10-10,4768.89990234375,-0.997,0.133,0.763,0.104,4735.08984375,4780.77001953125,4730.31005859375,33200.0
2003-10-13,4849.27001953125,-0.9976,0.128,0.796,0.076,4787.75,4859.93017578125,4786.68994140625,29600.0
2003-10-14,4782.02978515625,-0.9982,0.101,0.843,0.056,4866.1201171875,4900.919921875,4765.35009765625,37600.0
2003-10-15,4855.259765625,-0.9766,0.078,0.858,0.064,4790.5400390625,4867.91015625,4738.72021484375,31800.0
2003-10-16,4887.31982421875,-0.9994,0.145,0.779,0.076,4887.0400390625,4921.64990234375,4865.259765625,39200.0
2003-10-17,4930.52978515625,-0.9949,0.106,0.817,0.077,4912.27001953125,4949.22998046875,4901.58984375,35400.0
2003-10-20,4851.669921875,-0.9992,0.159,0.768,0.074,4951.10986328125,4951.10986328125,4838.7001953125,31000.0
2003-10-21,4755.72021484375,-0.9836,0.097,0.826,0.077,4868.0,4880.66015625,4727.43017578125,39400.0
2003-10-22,4741.2001953125,-0.994,0.137,0.75,0.113,4772.83984375,4801.7001953125,4705.41015625,34000.0
2003-10-23,4648.41015625,0.9761,0.076,0.837,0.087,4744.47998046875,4755.93994140625,4634.89990234375,31000.0
2003-10-24,4757.3701171875,-0.9852,0.118,0.792,0.09,4654.27001953125,4772.06982421875,4599.60986328125,38400.0
2003-10-27,4698.27978515625,-0.8853,0.1,0.802,0.098,4802.06982421875,4814.31982421875,4689.08984375,31400.0
2003-10-28,4707.7998046875,0.9576,0.101,0.795,0.104,4710.22021484375,4748.18994140625,4666.18994140625,34600.0
2003-10-29,4744.10009765625,0.9906,0.084,0.81,0.106,4732.7900390625,4747.58984375,4684.419921875,34200.0
2003-10-30,4780.52001953125,0.9913,0.074,0.824,0.102,4751.830078125,4805.72021484375,4735.77001953125,42200.0
2003-10-31,4906.8701171875,0.9854,0.082,0.814,0.104,4787.0498046875,4913.18017578125,4779.08984375,32200.0
2003-11-03,5063.02978515625,-0.9856,0.103,0.819,0.078,4946.93017578125,5068.66015625,4946.93017578125,40800.0
2003-11-04,5097.83984375,-0.998,0.117,0.813,0.069,5096.16015625,5135.0,5055.56982421875,44200.0
2003-11-05,5064.91015625,-0.9985,0.129,0.79,0.081,5116.85986328125,5127.7900390625,5021.97021484375,36400.0
2003-11-06,5047.5400390625,-0.9967,0.113,0.805,0.081,5080.0498046875,5118.080078125,5030.0400390625,34000.0
2003-11-07,4971.56982421875,-0.9967,0.137,0.76,0.103,5071.2001953125,5092.7001953125,4965.5,25200.0
2003-11-10,4998.56982421875,-0.9964,0.111,0.824,0.065,4962.22021484375,5017.89990234375,4909.66015625,34200.0
2003-11-11,5030.64013671875,-0.9971,0.125,0.795,0.08,4998.7900390625,5039.2001953125,4988.8798828125,29000.0
2003-11-12,5005.77001953125,-0.9912,0.108,0.801,0.091,5040.5498046875,5059.97998046875,4998.259765625,27200.0
2003-11-13,4949.16015625,-0.898,0.101,0.807,0.092,5051.7099609375,5053.06005859375,4941.490234375,33400.0
2003-11-14,4865.830078125,-0.9951,0.122,0.79,0.088,4948.77001953125,4961.3701171875,4854.16015625,32600.0
2003-11-17,4940.22998046875,-0.9544,0.114,0.78,0.105,4907.02001953125,4959.9599609375,4882.97021484375,23400.0
2003-11-18,4891.1298828125,-0.9945,0.101,0.832,0.067,4956.419921875,4981.47998046875,4875.4599609375,26800.0
2003-11-19,4823.72998046875,-0.9837,0.11,0.799,0.091,4868.43017578125,4868.43017578125,4800.669921875,31400.0
2003-11-20,4771.22998046875,-0.999,0.152,0.767,0.081,4840.7998046875,4878.81005859375,4763.52978515625,28800.0
2003-11-21,4838.5400390625,-0.9719,0.117,0.775,0.108,4770.75,4851.669921875,4736.7001953125,29600.0
2003-11-24,4822.14990234375,-0.9873,0.114,0.796,0.09,4852.1201171875,4858.43017578125,4803.7998046875,20600.0
2003-11-25,4894.58984375,-0.9977,0.119,0.809,0.072,4845.10009765625,4900.2099609375,4843.4599609375,22200.0
2003-11-27,4989.0400390625,-0.9354,0.092,0.821,0.087,4907.3798828125,5000.41015625,4907.3798828125,38800.0
2003-11-28,5044.81982421875,-0.9841,0.083,0.853,0.064,4995.14990234375,5050.56005859375,4991.240234375,30800.0
2003-12-01,5160.85009765625,-0.9976,0.128,0.807,0.065,5086.85986328125,5166.56005859375,5082.81982421875,51200.0
2003-12-02,5186.080078125,-0.6437,0.122,0.759,0.12,5187.72998046875,5204.56982421875,5123.7998046875,33400.0
2003-12-03,5221.89990234375,0.9407,0.071,0.847,0.082,5194.16015625,5246.740234375,5178.22021484375,25400.0
2003-12-04,5225.89990234375,-0.9845,0.098,0.826,0.076,5229.18017578125,5252.2099609375,5174.85986328125,32200.0
2003-12-05,5131.72021484375,-0.9983,0.131,0.802,0.067,5245.75,5263.10986328125,5125.06982421875,31400.0
2003-12-08,5131.5400390625,0.7084,0.076,0.842,0.082,5144.9501953125,5163.009765625,5089.56982421875,29400.0
2003-12-09,5229.33984375,-0.9933,0.126,0.778,0.096,5143.18994140625,5232.490234375,5143.18994140625,21600.0
2003-12-10,5285.5400390625,-0.8081,0.098,0.809,0.092,5234.72021484375,5300.7900390625,5220.60009765625,29000.0
2003-12-11,5299.9599609375,-0.9966,0.133,0.77,0.097,5306.6201171875,5317.41015625,5253.81005859375,25600.0
2003-12-12,5315.81005859375,-0.9958,0.117,0.81,0.073,5321.490234375,5343.91015625,5283.75,26400.0
2003-12-15,5390.8798828125,-0.8154,0.07,0.868,0.062,5366.93017578125,5399.080078125,5351.02978515625,24400.0
2003-12-16,5437.0498046875,-0.9934,0.135,0.764,0.1,5374.14990234375,5445.0,5351.2099609375,30800.0
2003-12-17,5418.22998046875,-0.9846,0.142,0.736,0.121,5437.259765625,5457.8798828125,5401.08984375,23600.0
2003-12-18,5455.0,-0.9979,0.125,0.807,0.069,5432.4599609375,5466.2998046875,5407.4599609375,30800.0
2003-12-19,5541.35009765625,-0.9198,0.087,0.836,0.077,5486.6298828125,5555.68017578125,5486.6298828125,33000.0
2003-12-22,5577.9599609375,-0.9857,0.102,0.818,0.08,5547.68017578125,5590.4501953125,5543.97998046875,29200.0
2003-12-23,5564.330078125,-0.9907,0.092,0.839,0.069,5590.009765625,5616.25,5550.52001953125,29000.0
2003-12-24,5641.919921875,0.9863,0.086,0.806,0.109,5566.0498046875,5648.240234375,5560.22998046875,30800.0
2003-12-26,5699.240234375,-0.9911,0.116,0.802,0.082,5650.740234375,5705.2998046875,5650.740234375,24400.0
2003-12-29,5797.330078125,-0.9483,0.126,0.75,0.124,5725.43994140625,5814.259765625,5725.43994140625,18800.0
2003-12-30,5791.85009765625,-0.9987,0.144,0.783,0.073,5852.7001953125,5920.759765625,5762.60009765625,34200.0
2003-12-31,5838.9599609375,-0.9983,0.151,0.758,0.091,5812.3798828125,5876.5498046875,5801.52001953125,28200.0
2004-01-02,6026.58984375,-0.9891,0.119,0.808,0.073,5944.22998046875,6034.3798828125,5944.22998046875,31400.0
2004-01-05,6039.0,-0.9759,0.128,0.771,0.101,6050.47998046875,6078.10986328125,5964.64990234375,33600.0
2004-01-06,5943.64013671875,-0.9544,0.103,0.807,0.09,6068.68017578125,6121.2001953125,5916.330078125,37600.0
2004-01-07,5957.02001953125,0.1984,0.079,0.84,0.081,5970.35009765625,5985.2998046875,5870.5498046875,36200.0
2004-01-08,6108.5400390625,-0.9934,0.1,0.853,0.047,5992.10009765625,6118.6201171875,5992.10009765625,31600.0
2004-01-09,6119.58984375,-0.9986,0.143,0.798,0.058,6241.58984375,6249.60009765625,6096.68017578125,45200.0
2004-01-12,6067.759765625,-0.9937,0.119,0.798,0.082,6152.22021484375,6152.22021484375,6037.2998046875,31600.0
2004-01-13,6132.97021484375,-0.9641,0.087,0.842,0.07,6084.64990234375,6147.740234375,6011.56982421875,33200.0
2004-01-14,6194.10986328125,-0.9613,0.092,0.84,0.068,6162.18017578125,6215.02001953125,6162.18017578125,35600.0
2004-01-15,6063.91015625,-0.9897,0.106,0.815,0.079,6219.81005859375,6248.81005859375,6045.2998046875,38000.0
2004-01-16,5946.18994140625,-0.9921,0.097,0.848,0.056,6068.66015625,6072.02978515625,5914.02001953125,47800.0
2004-01-19,6064.10009765625,-0.998,0.142,0.767,0.091,5967.39013671875,6076.97021484375,5870.990234375,36200.0
2004-01-20,5922.10986328125,-0.9696,0.085,0.858,0.058,6099.93994140625,6130.08984375,5899.7099609375,41000.0
2004-01-21,5758.18994140625,-0.9941,0.119,0.795,0.086,5927.419921875,5962.35986328125,5728.31982421875,43200.0
2004-01-22,5593.740234375,-0.9986,0.148,0.765,0.087,5793.830078125,5852.9599609375,5567.68017578125,51000.0
2004-01-23,5816.64013671875,-0.9878,0.105,0.815,0.08,5646.330078125,5832.740234375,5596.56982421875,37600.0
2004-01-27,5993.06005859375,-0.9979,0.148,0.77,0.082,5854.35009765625,6005.5400390625,5791.740234375,45200.0
2004-01-28,5876.0498046875,-0.8039,0.092,0.818,0.09,5980.8798828125,6030.5498046875,5815.2001953125,47800.0
2004-01-29,5802.75,-0.9936,0.11,0.822,0.068,5865.2099609375,5921.72021484375,5774.31005859375,45000.0
2004-01-30,5695.669921875,-0.9932,0.107,0.822,0.071,5841.2099609375,5854.2900390625,5685.64013671875,38800.0
2004-02-03,5620.97998046875,0.9472,0.092,0.796,0.112,5715.4599609375,5715.4599609375,5550.169921875,39600.0
2004-02-04,5756.759765625,-0.9948,0.119,0.794,0.088,5633.14990234375,5769.7900390625,5574.68017578125,41800.0
2004-02-05,5720.6298828125,-0.998,0.126,0.821,0.053,5756.2998046875,5820.4501953125,5648.14013671875,44600.0
2004-02-06,5786.35009765625,-0.9816,0.103,0.814,0.082,5710.1298828125,5800.93994140625,5683.60986328125,37800.0
2004-02-09,5926.22021484375,-0.9914,0.115,0.817,0.068,5810.2099609375,5935.68017578125,5807.72998046875,30400.0
2004-02-10,5932.52001953125,0.5362,0.075,0.85,0.075,5937.4599609375,5972.93994140625,5866.6201171875,44400.0
2004-02-11,5949.77978515625,-0.9993,0.171,0.769,0.061,5936.41015625,5958.91015625,5905.22998046875,37200.0
2004-02-12,5936.9599609375,-0.9935,0.117,0.808,0.075,5973.7099609375,5986.41015625,5886.97998046875,37600.0
2004-02-13,6011.66015625,-0.9864,0.113,0.803,0.084,5936.64990234375,6017.009765625,5922.3798828125,32800.0
2004-02-16,6012.35009765625,-0.9818,0.113,0.799,0.087,6025.85009765625,6063.91015625,6001.56982421875,30800.0
2004-02-17,6035.7998046875,-0.9933,0.144,0.754,0.101,6018.9501953125,6058.990234375,5999.1298828125,30800.0
